    11     1    11                 
     1     1     1 -9.6510964E-001 
     1     1     2 -9.0823307E-001 
     1     1     3 -9.4954624E-001 
     1     1     4 -6.7128890E-001 
     1     1     5 -1.5000000E-001 
     1     1     6  3.7128890E-001 
     1     1     7  6.4954624E-001 
     1     1     8  6.0823307E-001 
     1     1     9  6.6510964E-001 
     1     1    10  6.5080002E-001 
     1     1    11  6.9919998E-001 
     2     1     1 -9.6510964E-001 
     2     1     2 -9.0823307E-001 
     2     1     3 -9.4954624E-001 
     2     1     4 -6.7128890E-001 
     2     1     5 -1.5000000E-001 
     2     1     6  3.7128890E-001 
     2     1     7  6.4954624E-001 
     2     1     8  6.0823307E-001 
     2     1     9  6.6510964E-001 
     2     1    10  6.5080002E-001 
     2     1    11  6.9919998E-001 
     3     1     1 -9.6510964E-001 
     3     1     2 -9.0823307E-001 
     3     1     3 -9.4954624E-001 
     3     1     4 -6.7128890E-001 
     3     1     5 -1.5000000E-001 
     3     1     6  3.7128890E-001 
     3     1     7  6.4954624E-001 
     3     1     8  6.0823307E-001 
     3     1     9  6.6510964E-001 
     3     1    10  6.5080002E-001 
     3     1    11  6.9919998E-001 
     4     1     1 -9.6510964E-001 
     4     1     2 -9.0823307E-001 
     4     1     3 -9.4954624E-001 
     4     1     4 -6.7128890E-001 
     4     1     5 -1.5000000E-001 
     4     1     6  3.7128890E-001 
     4     1     7  6.4954624E-001 
     4     1     8  6.0823307E-001 
     4     1     9  6.6510964E-001 
     4     1    10  6.5080002E-001 
     4     1    11  6.9919998E-001 
     5     1     1 -9.6510964E-001 
     5     1     2 -9.0823307E-001 
     5     1     3 -9.4954624E-001 
     5     1     4 -6.7128890E-001 
     5     1     5 -1.5000000E-001 
     5     1     6  3.7128890E-001 
     5     1     7  6.4954624E-001 
     5     1     8  6.0823307E-001 
     5     1     9  6.6510964E-001 
     5     1    10  6.5080002E-001 
     5     1    11  6.9919998E-001 
     6     1     1 -9.6510964E-001 
     6     1     2 -9.0823307E-001 
     6     1     3 -9.4954624E-001 
     6     1     4 -6.7128890E-001 
     6     1     5 -1.5000000E-001 
     6     1     6  3.7128890E-001 
     6     1     7  6.4954624E-001 
     6     1     8  6.0823307E-001 
     6     1     9  6.6510964E-001 
     6     1    10  6.5080002E-001 
     6     1    11  6.9919998E-001 
     7     1     1 -9.6510964E-001 
     7     1     2 -9.0823307E-001 
     7     1     3 -9.4954624E-001 
     7     1     4 -6.7128890E-001 
     7     1     5 -1.5000000E-001 
     7     1     6  3.7128890E-001 
     7     1     7  6.4954624E-001 
     7     1     8  6.0823307E-001 
     7     1     9  6.6510964E-001 
     7     1    10  6.5080002E-001 
     7     1    11  6.9919998E-001 
     8     1     1 -9.6510964E-001 
     8     1     2 -9.0823307E-001 
     8     1     3 -9.4954624E-001 
     8     1     4 -6.7128890E-001 
     8     1     5 -1.5000000E-001 
     8     1     6  3.7128890E-001 
     8     1     7  6.4954624E-001 
     8     1     8  6.0823307E-001 
     8     1     9  6.6510964E-001 
     8     1    10  6.5080002E-001 
     8     1    11  6.9919998E-001 
     9     1     1 -9.6510964E-001 
     9     1     2 -9.0823307E-001 
     9     1     3 -9.4954624E-001 
     9     1     4 -6.7128890E-001 
     9     1     5 -1.5000000E-001 
     9     1     6  3.7128890E-001 
     9     1     7  6.4954624E-001 
     9     1     8  6.0823307E-001 
     9     1     9  6.6510964E-001 
     9     1    10  6.5080002E-001 
     9     1    11  6.9919998E-001 
    10     1     1 -9.6510964E-001 
    10     1     2 -9.0823307E-001 
    10     1     3 -9.4954624E-001 
    10     1     4 -6.7128890E-001 
    10     1     5 -1.5000000E-001 
    10     1     6  3.7128890E-001 
    10     1     7  6.4954624E-001 
    10     1     8  6.0823307E-001 
    10     1     9  6.6510964E-001 
    10     1    10  6.5080002E-001 
    10     1    11  6.9919998E-001 
    11     1     1 -9.6510964E-001 
    11     1     2 -9.0823307E-001 
    11     1     3 -9.4954624E-001 
    11     1     4 -6.7128890E-001 
    11     1     5 -1.5000000E-001 
    11     1     6  3.7128890E-001 
    11     1     7  6.4954624E-001 
    11     1     8  6.0823307E-001 
    11     1     9  6.6510964E-001 
    11     1    10  6.5080002E-001 
    11     1    11  6.9919998E-001 
