solver_index,iteration,error 
0.00000000e+00,1.00000000e+00,1.00000000e+00 
0.00000000e+00,2.00000000e+00,5.28627846e-01 
0.00000000e+00,3.00000000e+00,3.59749051e-01 
0.00000000e+00,4.00000000e+00,2.70294793e-01 
0.00000000e+00,5.00000000e+00,2.14297074e-01 
0.00000000e+00,6.00000000e+00,1.75845520e-01 
0.00000000e+00,7.00000000e+00,1.47841017e-01 
0.00000000e+00,8.00000000e+00,1.26590738e-01 
0.00000000e+00,9.00000000e+00,1.09966146e-01 
0.00000000e+00,1.00000000e+01,9.66472481e-02 
0.00000000e+00,1.10000000e+01,8.57695603e-02 
0.00000000e+00,1.20000000e+01,7.67425473e-02 
0.00000000e+00,1.30000000e+01,6.91490589e-02 
0.00000000e+00,1.40000000e+01,6.26862672e-02 
0.00000000e+00,1.50000000e+01,5.71292803e-02 
0.00000000e+00,1.60000000e+01,5.23078332e-02 
0.00000000e+00,1.70000000e+01,4.80908577e-02 
0.00000000e+00,1.80000000e+01,4.43759795e-02 
0.00000000e+00,1.90000000e+01,4.10821981e-02 
0.00000000e+00,2.00000000e+01,3.81446798e-02 
0.00000000e+00,2.10000000e+01,3.55109847e-02 
0.00000000e+00,2.20000000e+01,3.31382916e-02 
0.00000000e+00,2.30000000e+01,3.09913256e-02 
0.00000000e+00,2.40000000e+01,2.90407945e-02 
0.00000000e+00,2.50000000e+01,2.72621890e-02 
0.00000000e+00,2.60000000e+01,2.56348601e-02 
0.00000000e+00,2.70000000e+01,2.41412973e-02 
0.00000000e+00,2.80000000e+01,2.27665612e-02 
0.00000000e+00,2.90000000e+01,2.14978329e-02 
0.00000000e+00,3.00000000e+01,2.03240554e-02 
0.00000000e+00,3.10000000e+01,1.92356411e-02 
0.00000000e+00,3.20000000e+01,1.82242396e-02 
0.00000000e+00,3.30000000e+01,1.72825443e-02 
0.00000000e+00,3.40000000e+01,1.64041354e-02 
0.00000000e+00,3.50000000e+01,1.55833495e-02 
0.00000000e+00,3.60000000e+01,1.48151727e-02 
0.00000000e+00,3.70000000e+01,1.40951490e-02 
0.00000000e+00,3.80000000e+01,1.34193062e-02 
0.00000000e+00,3.90000000e+01,1.27840911e-02 
0.00000000e+00,4.00000000e+01,1.21863165e-02 
0.00000000e+00,4.10000000e+01,1.16231148e-02 
0.00000000e+00,4.20000000e+01,1.10918989e-02 
0.00000000e+00,4.30000000e+01,1.05903293e-02 
0.00000000e+00,4.40000000e+01,1.01162843e-02 
0.00000000e+00,4.50000000e+01,9.66783589e-03 
0.00000000e+00,4.60000000e+01,9.24322811e-03 
0.00000000e+00,4.70000000e+01,8.84085765e-03 
0.00000000e+00,4.80000000e+01,8.45925851e-03 
0.00000000e+00,4.90000000e+01,8.09708675e-03 
0.00000000e+00,5.00000000e+01,7.75310853e-03 
0.00000000e+00,5.10000000e+01,7.42618889e-03 
0.00000000e+00,5.20000000e+01,7.11528247e-03 
0.00000000e+00,5.30000000e+01,6.81942363e-03 
0.00000000e+00,5.40000000e+01,6.53772083e-03 
0.00000000e+00,5.50000000e+01,6.26934798e-03 
0.00000000e+00,5.60000000e+01,6.01353931e-03 
0.00000000e+00,5.70000000e+01,5.76958427e-03 
0.00000000e+00,5.80000000e+01,5.53682167e-03 
0.00000000e+00,5.90000000e+01,5.31463658e-03 
0.00000000e+00,6.00000000e+01,5.10245581e-03 
0.00000000e+00,6.10000000e+01,4.89974419e-03 
0.00000000e+00,6.20000000e+01,4.70600196e-03 
0.00000000e+00,6.30000000e+01,4.52076177e-03 
0.00000000e+00,6.40000000e+01,4.34358607e-03 
0.00000000e+00,6.50000000e+01,4.17406476e-03 
0.00000000e+00,6.60000000e+01,4.01181293e-03 
0.00000000e+00,6.70000000e+01,3.85646961e-03 
0.00000000e+00,6.80000000e+01,3.70769499e-03 
0.00000000e+00,6.90000000e+01,3.56516981e-03 
0.00000000e+00,7.00000000e+01,3.42859315e-03 
0.00000000e+00,7.10000000e+01,3.29768170e-03 
0.00000000e+00,7.20000000e+01,3.17216815e-03 
0.00000000e+00,7.30000000e+01,3.05180030e-03 
0.00000000e+00,7.40000000e+01,2.93633980e-03 
0.00000000e+00,7.50000000e+01,2.82556149e-03 
0.00000000e+00,7.60000000e+01,2.71925233e-03 
0.00000000e+00,7.70000000e+01,2.61721069e-03 
0.00000000e+00,7.80000000e+01,2.51924573e-03 
0.00000000e+00,7.90000000e+01,2.42517635e-03 
0.00000000e+00,8.00000000e+01,2.33483099e-03 
0.00000000e+00,8.10000000e+01,2.24804682e-03 
0.00000000e+00,8.20000000e+01,2.16466923e-03 
0.00000000e+00,8.30000000e+01,2.08455131e-03 
0.00000000e+00,8.40000000e+01,2.00755370e-03 
0.00000000e+00,8.50000000e+01,1.93354343e-03 
0.00000000e+00,8.60000000e+01,1.86239446e-03 
0.00000000e+00,8.70000000e+01,1.79398646e-03 
0.00000000e+00,8.80000000e+01,1.72820507e-03 
0.00000000e+00,8.90000000e+01,1.66494121e-03 
0.00000000e+00,9.00000000e+01,1.60409108e-03 
